CATEGORY_TEXT	CONT_SCOPE	FUNC_LOC	ITEM_TITLE	ITEM_DESCRIPTION	STARTUP
HVAC	X	N/A	MD-3 Cable Activities	Motorized dumper, MD-3 cable to be pulled, tagged, terminated and tested.	Y
HVAC	X	N/A	MD-3 Identification	Motorized dumper, MD-3 in mechanical room  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	MD-1 Installation	Motorized dumper, MD-1 in mechanical room not yet installed.	Y
HVAC	X	N/A	MD-1 Cable Activities	Motorized dumper, MD-1 cable to be pulled, tagged, terminated and tested.	Y
HVAC	X	N/A	MD-1 Identification	Scope of work.	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install hollow metal door (D1) with complete accessories, conforming to IFC Drawing door schedule, and to operate smoothly, located	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install hollow metal door (D2) with complete accessories, conforming to IFC Drawing door schedule, and to operate smoothly, located	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install hollow metal door (D2) with complete accessories, conforming to IFC Drawing door schedule, and to operate smoothly, located	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install hollow metal door (D2) with complete accessories, conforming to IFC Drawing door schedule, and to operate smoothly, located	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install door (D4) with complete accessories, conforming to IFC Drawing door schedule, and to operate smoothly, located at exterior s	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	SAES-Q-012, Section 7 & 8.	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install galvanized steel caged ladder painted yellow color, located at lower bay, exterior side of Switchgear room, east of Substati	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install galvanized steel caged ladder painted yellow color, located at higher bay, exterior side of GIS room, north of Substation Bu	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete balance concrete screed at floor below GIS room, Substation Bulding, to be provided with control joints and applied with ap	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete the balance painting with textured finish at columns and beams below GIS room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Remove the backfill materials used as temporary ramp at the exterior side of GIS room, South of Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete the installation of steel stair and platform at East side of GIS room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete the installation of steel stair and platform at South side of GIS room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Provide ramp up at the entrance of door (D1) in Mechanical room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Provide ramp up at the entrance of door (D1) in Swithgear room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final non-slip epoxy paint on floor of Mechanical room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final non-slip epoxy paint on floor of Relay room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete the backfilling around the sides of cable entry support foundations (6-Nos) after complete application of protective coatin	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final paint on the walls of Mechanical room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final paint on the walls of Switchgear room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final paint on the walls of Relay room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final paint on the walls of GIS room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Complete application for the final paint on the walls of Battery room at Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Scope of work.	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Add gravel to make a uniform thickness of 50 mm in all areas of roof at Substation Building.	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install steel screen at every scupper drain at roof to prevent entry of gravel to downspout which will cause water clog - Substation	N
Civil	X	N/A	PMCC 1A - GIS Substation Building	Conduct water slope test at floor of Battery room, Substation Building.	Y
Civil	X	N/A	PMCC 1A - GIS Substation Building	Install fire stops in openings around penetrations through fire resistant rated walls , partitiions, floors or ceiling - Substation	Y
HVAC	X	N/A	FSD-3 Conduit Installation	Fire and smoke damper, FSD-3 no conduit installed.	Y
HVAC	X	N/A	FSD-3 Cable Activities	Fire and smoke damper, FSD-3 cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	FSD-3 Identification	Fire and smoke damper, FSD-3 to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	T1 Installation	High temp. alarm device, T1 in Battery room not yet installed.	Y
HVAC	X	N/A	T1 Cable Activities	Scope of work.	Y
HVAC	X	N/A	T1 Identification	Scope of work.	N
HVAC	X	N/A	MD-6 Installation	Scope of work.	Y
HVAC	X	N/A	MD-6 Cable Activities	Scope of work.	Y
HVAC	X	N/A	MD-6 Identification	Scope of work.	N
HVAC	X	N/A	MD-7 Installation	Scope of work.	Y
HVAC	X	N/A	MD-7 Cable Activities	Scope of work.	Y
HVAC	X	N/A	MD-7 Identification	Scope of work.	N
HVAC	X	N/A	607-K-0059 Installation	Scope of work.	Y
HVAC	X	N/A	607-K-0059 Conduit Installation	Scope of work.	Y
HVAC	X	N/A	607-K-0059 Cable Pulling	DDC panel, 607-K-0059 cable to be pulled.	Y
HVAC	X	N/A	607-K-0059 Cable Termination	DDC panel, 607-K-0059 cable to be terminated.	Y
HVAC	X	N/A	607-K-0059 Cable Meggering	DDC panel, 607-K-0059 cable to be tested.	Y
HVAC	X	N/A	FSD-03 Installation	Scope of Work	Y
Safety	X	N/A	MDL-3 Installation	607-AA/AL-01, MDL-3 not installed.	N
Safety	X	N/A	607-AA/AL-01 Identification	607-AA/AL-01 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-02, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-02 Identification	607-AA/AL-02 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-03, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-03 Identification	607-AA/AL-03 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-04, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-04 Identification	607-AA/AL-04 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-10, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-10 Identification	607-AA/AL-10 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-05, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-05 Identification	Scope of work.	N
Safety	X	N/A	MDL-3 Installation	Scope of work.	Y
Safety	X	N/A	607-AA/AL-06 Identification	Scope of work.	N
Safety	X	N/A	MDL-3 Installation	Scope of work.	Y
Safety	X	N/A	607-AA/AL-07 Identification	Scope of work.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-08, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-08 Identification	607-AA/AL-08 has no phenolic tag and conduit identity.	N
Safety	X	N/A	MDL-3 Installation	607-AA/AL-09, MDL-3 not installed.	Y
Safety	X	N/A	607-AA/AL-09 Identification	Scope of work.	N
Safety	X	N/A	607-LI-MP-01 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-01 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-02 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-03 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-04 Identification	Scope of work.	N
Safety	X	N/A	607-LI-MP-02 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-05 Identification	Scope of work.	N
Safety	X	N/A	607-LI-HSSD-17 Installation	Scope of work.	Y
Safety	X	N/A	607-LI-SD-06 Identification	607-LI-SD-06 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-PB-07 Installation	607-LI-PB-07, transmitter and receiver are not installed.	Y
Safety	X	N/A	607-LI-SD-11 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-12 Identification	607-LI-SD-12 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-MP-03 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-13 Identification	Scope of work.	N
Safety	X	N/A	607-LI-SD-14 Identification	607-LI-SD-14 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-DSD-01 Identification	607-LI-DSD-01 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-DSD-02 Identification	607-LI-DSD-02 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-SD-15 Identification	607-LI-SD-15 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-SD-16 Identification	Scope of work.	N
Safety	X	N/A	607-LI-MP-04 Identification	607-LI-MP-04 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-MP-05 Identification	607-LI-MP-05 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-MP-06 Identification	607-LI-MP-06 has no phenolic tag and conduit identity.	N
Safety	X	N/A	607-LI-MP-07 Identification	Scope of work.	N
Safety	X	N/A	607-FACP-0001 Pocket Provision	Scope of work.	N
Safety	X	N/A	Battery Installation	Scope of work.	Y
Safety	X	N/A	607-FACP-0001 Termination	Scope of work.	Y
Safety	X	N/A	Display Unit Identification	Scope of work.	N
Safety	X	N/A	DC Safe Grounding	Scope of work.	Y
Safety	X	N/A	607-FS-0043 Installation	Scope of work.	Y
Safety	X	N/A	607-IC-2526 Cable Activities	Scope of work.	Y
HVAC	X	N/A	FSD-03 Access Door Installation	Scope of Work	Y
Electrical	X	N/A	PMCC-1A	607-001-SB-001 Installation Inspection for Equipment Grounding not done	Y
Electrical	X	N/A	607-001-SB-001	Scope of Work	Y
Electrical	X	N/A	607-001-SB-001	Scope of Work	Y
Electrical	X	N/A	607-001-SB-001	Scope of Work	Y
HVAC	X	N/A	FSD-04 Installation	Scope of Work	Y
HVAC	X	N/A	FSD-04 Access door	Scope of Work	Y
HVAC	X	N/A	FSD-05 Installation	Scope of Work	Y
HVAC	X	N/A	FSD-05 Access door	Scope of Work	Y
HVAC	X	N/A	FSD-06 Installation	Scope of Work	Y
HVAC	X	N/A	FSD-06 Access door	Scope of Work	Y
HVAC	X	N/A	FSD-07 Installation	Scope of Work	Y
HVAC	X	N/A	FSD-07 Access door	Scope of Work	Y
HVAC	X	N/A	EF-5A	Scope of Work	Y
HVAC	X	N/A	EF-5B	Complete Installation of Exhaust Fan at battery Room Tag No-5B Substation building	Y
HVAC	X	N/A	MD-01 Installation	Complete Installation Motorized damper Tag-MD-01 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-02Installation	Scope of Work	Y
HVAC	X	N/A	MD-03 Installation	Complete Installation Motorized damper Tag-MD-03 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-04 Installation	Complete Installation Motorized damper Tag-MD-04 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-05 Installation	Complete Installation Motorized damper Tag-MD-05 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-06 Installation	Scope of Work	Y
HVAC	X	N/A	MD-07 Installation	Complete Installation Motorized damper Tag-MD-07 at Battery Room Substation building	Y
HVAC	X	N/A	MD-01 Access Door	Scope of Work	Y
HVAC	X	N/A	MD-02 Access Door	Scope of Work	Y
HVAC	X	N/A	MD-03 Access Door	Complete Installation of Access door Tag-MD-3 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-04 Access Door	Complete Installation of Access door Tag-MD-4 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-05 Access Door	Complete Installation of Access door Tag-MD-5 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-06 Access Door	Complete Installation of Access door Tag-MD-6 at Battery Room Substation building	Y
HVAC	X	N/A	MD-07 Access Door	Complete Installation of Access door Tag-MD-7 at Battery Room Substation building	Y
HVAC	X	N/A	SAG-1	Complete Installation of Supply Air Grill Mechanical Room SAG-1 Substation building	Y
HVAC	X	N/A	SAG-2	Scope of Work	Y
HVAC	X	N/A	FAD- 1	Scope of Work	Y
HVAC	X	N/A	Fresh Air stack AHU	Complete Installation fresh air external ducts for stacks	Y
HVAC	X	N/A	Fresh Air stack Duct support	Complete Installation fresh air external ducts supports for stacks	Y
HVAC	X	N/A	Fresh Air stack Duct insulation	Scope of Work	Y
HVAC	X	N/A	FAD Cladding	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2A	complete Installation of ACCU-2A suction pipe line insulation	Y
HVAC	X	N/A	ACCU-2A	complete Installation of ACCU-2A liquid pipe line insulation	Y
HVAC	X	N/A	Suction line ACCU-2A	complete Installation of ACCU-2A suction pipe line support Installation	Y
HVAC	X	N/A	Liquid line ACCU-2A	complete Installation of ACCU-2A liquid pipe line support Installation	Y
HVAC	X	N/A	Suction line ACCU-2A	complete Installation of ACCU-2A suction pipe line clading Installation	Y
HVAC	X	N/A	Liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	complete Installation of ACCU-2B suction pipe line	Y
HVAC	X	N/A	Liquid line ACCU-2B	complete Installation of ACCU-2B liquid pipe line	Y
HVAC	X	N/A	Suction line ACCU-2B	complete Installation of ACCU-2B suction pipe line insulation	Y
HVAC	X	N/A	Liquid line ACCU-2B	complete Installation of ACCU-2B liquid pipe line insulation	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	complete Installation of ACCU-2B suction pipe line cladding Installation	Y
HVAC	X	N/A	Liquid line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	complete Installation of ACCU-2B suction pipe line insulation	Y
HVAC	X	N/A	Suction line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2B	complete refrigerant liquid pipe line blowout of ACCU-2B	Y
HVAC	X	N/A	Suction line ACCU-2A	complete refrigerant suction line leak test of ACCU-2A	Y
HVAC	X	N/A	Liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	complete refrigerant suction pipe line leak test of ACCU-2B	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Liquid line ACCU-2A	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	Suction line ACCU-2B	Scope of Work	Y
HVAC	X	N/A	FSD-01 functional test	Scope of Work	N
HVAC	X	N/A	FSD-02 functional test	Scope of Work	N
HVAC	X	N/A	FSD-03 functional test	Scope of Work	N
HVAC	X	N/A	FSD-04 functional test	Scope of Work	N
HVAC	X	N/A	FSD-05 functional test	Scope of Work	N
HVAC	X	N/A	FSD-06 functional test	Scope of Work	N
HVAC	X	N/A	FSD-07 functional test	Scope of Work	N
HVAC	X	N/A	MD-01 functional test	Complete functional test Motorized damper Tag-MD-01 at Mechanical Room Substation building	N
HVAC	X	N/A	MD-02 functional test	Scope of Work	N
HVAC	X	N/A	MD-03 functional test	Scope of Work	N
HVAC	X	N/A	MD-04 functional test	Scope of Work	N
HVAC	X	N/A	MD-05 functional test	Complete functional test Motorized damper Tag-MD-05 at Mechanical Room Substation building	N
HVAC	X	N/A	MD-06 functional test	Complete functional test Motorized damper Tag-MD-06 at Battery Room Substation building	N
HVAC	X	N/A	MD-07 functional test	Complete functional test Motorized damper Tag-MD-07 at Battery Room Substation building	N
HVAC	X	N/A	functional test ACCU-2A	Complete functional test ACCU Tag No- 2A at substation building	N
HVAC	X	N/A	functional test ACCU-2B	Complete functional test ACCU Tag No- 2B at substation building	N
HVAC	X	N/A	functional test ACCU-2A	Complete functional test AHU Tag No- 2A at substation building	N
HVAC	X	N/A	functional test ACCU-2B	Scope of Work	N
HVAC	X	N/A	Duct insulation	Complete damage insulation supply air, RAD all rooms	Y
HVAC	X	N/A	wall Penetration	Complete all refrigerant pipe penetrations at substation building	Y
HVAC	X	N/A	Stenciling ACCU-2A/2B	Complete Equipment tag number stenciling for ACCU 2A & 2B	N
HVAC	X	N/A	Stenciling AHU-2A/2B	Scope of Work	N
HVAC	X	N/A	FSD Stencil	Scope of Work	N
HVAC	X	N/A	MVD Stencil	Complete all MVD tag number stenciling at substation building	N
HVAC	X	N/A	Grounding AHU-2A	Grounding wire between AHU and flexible connectors AHU Tag no 2A	N
HVAC	X	N/A	Grounding AHU-2B	Grounding wire between AHU and duct flexible connectors AHU Tag no 2B	N
HVAC	X	N/A	Duct Clashing	Complete duct clashing with electrical tray at switchgear room	Y
HVAC	X	N/A	Drip Tray	Scope of Work	Y
HVAC	X	N/A	FSD	Scope of Work	Y
HVAC	X	N/A	Identification Sticker	Scope of Work	N
HVAC	X	N/A	Battery Room SAD installation	Scope of Work	Y
HVAC	X	N/A	Battery Room VCD Installation	Scope of Work	Y
HVAC	X	N/A	Battery Room SAD Cladding	Scope of Work	Y
HVAC	X	N/A	Cleaning ACCU/AHU 2A	Scope of Work	Y
HVAC	X	N/A	Cleaning ACCU/AHU 2B	Scope of Work	Y
HVAC	X	N/A	Cleaning ACCU/AHU 2A	Scope of Work	Y
HVAC	X	N/A	Cleaning ACCU/AHU 2B	Complete cleaning inside and outside the of AHU-2B	Y
HVAC	X	N/A	Red Line Drawing Refrigerant pipe ACCU/A	Provide redline drawing for refrigetant pipe in between AHU to ACCU 2A Mechanical Room	Y
HVAC	X	N/A	Red Line Drawing Refrigerant pipe ACCU/A	Provide redline drawing for refrigerant pipe in between AHU to ACCU 2B Mechanical Room	N
HVAC	X	N/A	Battery Room SAD leak test	Complete Battery Room supply air Stainless steel duct leak test	Y
HVAC	X	N/A	Battery Room EAD leak test	Complete Battery Room Exhaust air Stainless steel duct leak test and all joint need to be seal with sealant	Y
HVAC	X	N/A	Mechanical room FAD leak test	Complete Fresh air duct leak test at mechanical room	Y
HVAC	X	N/A	Excess Rod Cutting	Completed duct support excess rods need to be cut in all rooms	Y
HVAC	X	N/A	Galvanize paint touchup	Complete galvanize paint touchup at Rod and Angle edges	Y
HVAC	X	N/A	support Rods Alignment	Scope of Work	Y
HVAC	X	N/A	FSD Breakway joint	Scope of Work	Y
HVAC	X	N/A	Exhaust fans BDD	Scope of Work	Y
HVAC	X	N/A	Hose Bib	Scope of Work	Y
HVAC	X	N/A	ACCU/AHU	Scope of Work	Y
HVAC	X	N/A	ACCU/AHU	Scope of Work	Y
HVAC	X	N/A	Insulation Strap Bands	Scope of Work	Y
HVAC	X	N/A	Supply/Return Grills at switchgear room	Scope of Work	Y
HVAC	X	N/A	Supply/Return Grills Relay room	Scope of Work	Y
HVAC	X	N/A	Supply/Return Grills GIS room	Scope of Work	Y
HVAC	X	N/A	Drain Pipe AHU-2A	Complete Installation inspection for drain pipe for AHU-2A	Y
HVAC	X	N/A	Drain Pipe AHU-2B	Scope of Work	Y
HVAC	X	N/A	Duct Insulation Cleaning	Scope of Work	Y
HVAC	X	N/A	Inside duct Cleaning SAD,RAD, EAD,FAD	Scope of Work	Y
HVAC	X	N/A	Duct Sealant SAD,RAD, EAD,FAD	Complete proper duct sealant for supply, return, Fresh air and Exhaust duct	Y
HVAC	X	N/A	Duct Alignment SAD,RAD, EAD,FAD	Scope of Work	Y
HVAC	X	N/A	Spring isolators ACCU-2A	Complete proper tightening alignment of Spring isolators ACCU-2A	Y
HVAC	X	N/A	Spring isolators ACCU-2B	Complete proper tightening alignment of Spring isolators ACCU-2B	Y
HVAC	X	N/A	Return air bell mouth in switchgear room	Complete Installation inspection for return air bell mouth in switchgear room	Y
HVAC	X	N/A	Supply VCD-1 for GIS room	Scope of Work	Y
HVAC	X	N/A	supply VCD-2 for GIS room	Scope of Work	Y
HVAC	X	N/A	supply VCD-3 for GIS room	Scope of Work	Y
HVAC	X	N/A	supply VCD-4 for GIS room	Scope of Work	Y
HVAC	X	N/A	return air bell mouth in GIS room	Scope of Work	Y
HVAC	X	N/A	Supply air VCD-1 for Relay room	Scope of Work	Y
HVAC	X	N/A	supply air VCD-2 for Relay room	Scope of Work	Y
HVAC	X	N/A	Return air VCD-1 for switchgear room	Scope of Work	Y
HVAC	X	N/A	Supply air VCD-2 for submain duct switch	Scope of Work	Y
