CATEGORY_TEXT	CONT_SCOPE	FUNC_LOC	ITEM_TITLE	ITEM_DESCRIPTION	STARTUP
DCS	X	N/A	Cable Labeling	"Most field cables entering the marshalling panels are not labeled with stainless steel labels. Most cables are hand written on tape
"	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14276 From 13.8kV SWITCHGEAR, SG-102 (SS 20) To 369-019-SG-301. (Referen	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot with Tag No# PC-14276 From 13.8kV SWITCHGEAR, SG-102 (SS 20) To 369-019-SG-301. (Reference Drawing #369-P-	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Laying /Pulling with Tag No# CC-13450 From SG-102,BUS-3, CB(B)-346 To 369-019-SG-301. (Reference Drawing #369-P-C	Y
Electrical	X	N/A	Electrical Control Cable	"Complete the Cable Glanding and Termination with Tag No#CC-13450 From SG-102,BUS-3, CB(B)-346 To 369-019-SG-301. (Reference Drawing
"	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Continuity and IR Testing with Tag No# CC-13450 From SG-102,BUS-3, CB(B)-346 To 369-019-SG-301. (Reference Drawin	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Termination Torque Testing with Tag No#CC-13450 From SG-102,BUS-3, CB(B)-346 To 369-019-SG-301. (Reference Drawin	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
DCS	X	N/A	High Voltage Labeling	This is a safety issue, all High voltage panduits and terminals must have a cover and must be labeled correctly before energization.	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Laying /Pulling with Tag No# CC-13690 From SG-102, BUS-TIE BREAKER (B306) To EXISTING ANNUNCIATOR PANEL (XAP-2551	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Glanding and Termination with Tag No#CC-13691 From SG-102, BUS-3, BREAKER (B346) To EXISTING ANNUNCIATOR PANEL (X	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	"Complete the Cable Termination Torque Testing with Tag No#CC-13691 From SG-102, BUS-3, BREAKER (B346) To EXISTING ANNUNCIATOR PANEL
"	Y
DCS	X	N/A	Field cables entry	All cable entries into the cabinets and uildings must be sealed prior to energization.	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Laying /Pulling with Tag No# CC-13692 From SG-102, BUS-4, BREAKER (B347) To EXISTING ANNUNCIATOR PANEL (XAP-2551)	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Glanding and Termination with Tag No#CC-13692 From SG-102, BUS-4, BREAKER (B347) To EXISTING ANNUNCIATOR PANEL (X	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	"Complete the Cable Termination Torque Testing with Tag No#CC-13692 From SG-102, BUS-4, BREAKER (B347) To EXISTING ANNUNCIATOR PANEL
"	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Termination Torque Testing with Tag No#CC-13696 From SG-102, BUS-TIE BREAKER (B306) To EXISTING RTU PANEL. (Refer	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Glanding and Termination with Tag No#CC-13697 From SG-102, BUS-TIE BREAKER (B306) To EXISTING RTU PANEL. (Referen	Y
DCS	X	N/A	Ground Bus Bars	Missing Ground BUS bar labels and wiring.	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Continuity and IR Testing with Tag No# CC-13697 From SG-102, BUS-TIE BREAKER (B306) To EXISTING RTU PANEL. (Refer	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Termination Torque Testing with Tag No#CC-13697 From SG-102, BUS-TIE BREAKER (B306) To EXISTING RTU PANEL. (Refer	Y
Electrical	X	N/A	Electrical Control Cable	Complete the Cable Laying /Pulling with Tag No# CC-13698 From SG-102, BUS-3, BREAKER (B346) To EXISTING RTU PANEL. (Reference Drawin	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Control Cable	Scop of Work	Y
DCS	X	N/A	Missing Ground wires	Missing ground wires for the rails FTB2 and FRB2 in IRP panels.	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Electrical Equipment Testing	Scop of Work	Y
Electrical	X	N/A	Electrical Equipment Testing	Scop of Work	Y
Electrical	X	N/A	Electrical Equipment Testing	Scop of Work	Y
Electrical	X	N/A	Electrical Equipment Testing	Scop of Work	Y
Electrical	X	N/A	Electrical Equipment Testing	Complete The Instrument and Control power Transformer Testing for 369-019-SG-301 . (Reference Drawing #369-P-CA-082819-001-001)	Y
Electrical	X	N/A	Breaker Installation	Complete the all Breaker installation inside 36-019-SG-301. (Reference Drawing #369-A-CB-082841-001-0A2)	Y
Electrical	X	N/A	Breaker Installation	Complete The All Breakers Testing and Setting for 369-019-SG-301 . (Reference Drawing #369-A-CB-082841-001-0A2)	Y
Fire Protection	X	N/A	Fire Beacon and Horn	"The fire Beacon in SS-19 are not labeled and did not see any red Horns that are dedicated for Fire similar as the ones installed in
"	Y
Electrical	X	N/A	Electrical Equipment Cleaning	Complete The Cleaning inside/outside and tope side of 369-019-SG-301 . (Reference Drawing #369-A-CB-082841-001-0A2)	Y
Electrical	X	N/A	Cable Stub Ups	Complete the Stub up installation Transformer yard side for Incoming Cables of 369-XFR(T)-301/302/303/304. (Reference Drawing #369-P	Y
Electrical	X	N/A	Cable Trench	Complete the Trench Preparation for Incoming Cables of 369-XFR(T)-301/302/303/304. (Reference Drawing #369-P-CB-083030-001-0A1)	Y
Electrical	X	N/A	Cable Trench	Complete the Trench Back filling activity for Incoming Cables of 369-XFR(T)-301/302/303/304 . (Reference Drawing #369-P-CB-083030-00	Y
Electrical	X	N/A	Cable Trench	Complete the Trench marker Installation for cable trench used for incoming cables of 369-XFR(T)-301/302/303/304 . (Reference Drawing	N
Electrical	X	N/A	Cable Tray System	Complete the Cable Tray Installation outside of SS-19 for Incomer cables of 369-XFR(T)-301/302/303/304. (Reference Drawing #369-P-CB	Y
Electrical	X	N/A	Grounding System	Complete the grounding and bonding installation for Cable Tray, outside of SS-19 for incomer power cables of 369-XFR(T)-301/302/303/	Y
Electrical	X	N/A	Grounding System	Complete the grounding Continuity Testing for Cable Tray, outside of SS-19 for incomer power cables of 369-XFR(T)-301/302/303/304. (	Y
Electrical	X	N/A	Grounding System	Complete the grounding Torque Testing for Cable Tray, outside of SS-19 for incomer power cables of 369-XFR(T)-301/302/303/304. (Refe	Y
Electrical	X	N/A	Cable Tray System	Complete the Cable Tray cover installation outside of SS-19 for incomer power cables of 369-XFR(T)-301/302/303/304. (Reference Drawi	N
DCS	X	N/A	LEL Detector Horn	"The Gas detector Horns inside the building and outside are wired with loose wires and not in conduits. This is not home wiring - th
"	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the grounding Torque Testing for Support Structure of Cable Tray for incomer power cables of 369-XFR(T)-301/302/303/304. (R	Y
Electrical	X	N/A	MCT Installation	Complete the MCT installation for incomer power cables of 369-XFR(T)-301/302/303/304. (Reference Drawing #369-P-CB-083030-001-0A1)	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
IT	X	N/A	Fiber patch panel	Fiber patch panel is not fully terminated	Y
Safety	X	N/A	LPD Building classification	Area classification must be revisited by LPD. This building is 30meters aways from Hydrocarbon Gas release and should be classified	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14279 From 369-019-SG-301 To 369-019-XFR(T)-301. (Reference Drawing #369	Y
Safety	X	N/A	Eye Wash Station	Complete the installation of Eye Was Station in the Battery Room	Y
Safety	X	N/A	Building Entrances	Complete the installation of Access/Egress stairway for Rack Room	Y
Safety	X	N/A	Building Entrances	Agreed to consolidate and close as per IFC	Y
Safety	X	N/A	Building Entrances	Complete the installation of Access/Egress stairway for the Battery Room	Y
Safety	X	N/A	Building Entrances	Agreed to consolidate and close as per IFC	Y
Safety	X	N/A	Building Entrances	Agreed to consolidate and close as per IFC	Y
Safety	X	N/A	Access/Egress	Per the requirements of SAES-B-014	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14280 From 369-019-SG-301 To 369-019-XFR(T)-302. (Reference Drawing #369	Y
Safety	X	N/A	Access/Egress	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Access/Egress	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Access/Egress	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Access/Egress	Complete the installation of the door in the Battery Room	Y
Safety	X	N/A	Access/Egress	Complete the installation of the exterior door in the Air Lock	Y
Safety	X	N/A	Access/Egress	Complete the installation of the interior door in Air Lock	Y
Safety	X	N/A	Access/Egress	Complete the installation of the door in the Lobby	Y
Safety	X	N/A	Access/Egress	Complete the installation of the door in the Telecoms Room	Y
Safety	X	N/A	Extraction Fan	Complete the installation of explosion proof battery room extraction fans	Y
Safety	X	N/A	Flammable Gas Detector	Complete the installation of Flammable Gas Detection System	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14281 From 369-019-SG-301 To 369-019-XFR(T)-303. (Reference Drawing #369	Y
Safety	X	N/A	Toxic Gas Detector	No Toxic Gas Detection System at PIB-19	Y
Safety	X	N/A	Fire Dampers	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Fire/Smoke Dampers	Complete the installation of Fire/Smoke dampers in the Telecoms Room	Y
Safety	X	N/A	Fire/Smoke Dampers	Complete the installation of Fire/Smoke dampers in the Lobby	Y
Safety	X	N/A	Fire/Smoke Dampers	Complete the installation of Fire/Smoke dampers in the Rack Room	Y
Safety	X	N/A	Blast Protection Damper	Per the requirements of SAES-M-009	Y
Safety	X	N/A	Blast Protection Damper	Complete the installation of Blast Protection Damper in the Battery Room	Y
Safety	X	N/A	Blast Protection Damper	Complete the installation of Blast Protection Damper in the UPS/Electrical Room	Y
Safety	X	N/A	Blast Protection Damper	Complete the installation of Blast Protection Damper in the Mechanical Room West Wall	Y
Safety	X	N/A	Blast Protection Damper	Per the requirements of SAES-M-009	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14282 From 369-019-SG-301 To 369-019-XFR(T)-304. (Reference Drawing #369	Y
Safety	X	N/A	Blast Protection Damper	no blast protection in project scope	Y
Safety	X	N/A	Building Entrances	Complete the installation of Handrails/Guards on the stairway for Rack Room	Y
Safety	X	N/A	Building Entrances	agreed to consolidate and close as per IFC	Y
Safety	X	N/A	Building Entrances	Complete the installation of Handrails/Guards on the stairway for Air Lock	Y
Safety	X	N/A	Fixed Ladder	Complete the installation (footing/bolts) of East side fixed caged ladder	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Fire Extinguisher	Complete the installation of wall mounted portable CO2 fire extinguisher in UPS/Electrical Room	Y
Safety	X	N/A	Fire Extinguisher	Complete the installation of wall mounted portable CO2 fire extinguisher in Lobby Room	Y
Safety	X	N/A	Fire Extinguisher	Complete the installation of wall mounted portable CO2 fire extinguisher in Telecoms Room	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot Testing with Tag No# PC-14279 From 369-019-SG-301 To 369-019-XFR(T)-301. (Reference Drawing #369-P-CA-0828	Y
Safety	X	N/A	Fire Extinguisher	Complete the installation of outdoor wall mounted portable Dry Chemical fire extinguisher at entrance of the Rack Room	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Safety Equipment Cabinet	Complete the installation of the safety equipment cabinet that contains the required PPE	Y
Safety	X	N/A	Battery Room Signage	Per the requirements of Section 6.10 of SAES-P-103	Y
Safety	X	N/A	Lighting	Complete the installation of Emergency Lighting in the Rack Room	Y
Safety	X	N/A	Smoke Detection	Complete the installation of the Smoke Detection/Alarm System (ceiling void/floor void, duct, spot type for room) for the Rack Room	Y
Safety	X	N/A	Smoke Detection	Complete the installation of the Smoke Detection System in the Lobby Room	Y
Safety	X	N/A	Smoke Detection	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Smoke Detection	Per the requirements of SAES-B-014	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot Testing with Tag No# PC-14280 From 369-019-SG-301 To 369-019-XFR(T)-302. (Reference Drawing #369-P-CA-0828	Y
Safety	X	N/A	Smoke Detection	Complete the installation of the HSSD Smoke Detection and Alarm System for the UPS/Elecrical Room	Y
Safety	X	N/A	Smoke Detection	Complete the installation of the Smoke Detection System in the Telecoms Room	Y
Safety	X	N/A	Fire Alarm	Per the requirmetns of SAES-B-014 and NFPA 72	Y
Safety	X	N/A	Fire Alarm	Complete the installation 5 of the combination audible/light alarms inside each room the building (Mechanical Room, Rack Room, Telec	Y
Safety	X	N/A	Manual Pull Stations	as agreed with initiator, to be consolidated and close as per IFC	Y
Safety	X	N/A	Fire Stopping	Per the requirmetns of SAES-B-014	Y
Safety	X	N/A	Fire Stopping	Per the requirements of SAES-M-100 Section 701.2	Y
Safety	X	N/A	Fire Stopping	Per the requirements of SAES-M-100 Section 701.2	Y
Safety	X	N/A	Fire Stopping	The FIRE RESISTIVE ASSEMBLY PACKET shall be part of the completed construction documents per SAES-M-100 701.2.	Y
Safety	X	N/A	Fire Water System	Per the requirments of SAES-B-017	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Safety	X	N/A	Fire Detection and Alarm System	Per the requiremetns of SAES-B-017	Y
Safety	X	N/A	Fire Detection and Alarm System	Per the requiremetns of SAES-B-017	Y
Safety	X	N/A	Dry Chemical Extinguishers	Complete the installation of Dry chemical extinguishers located on the exterior of process interface buildings near entrances.	Y
IT	X	N/A	power	Permanent power is no ready	Y
Electrical	X	N/A	PMCC-05-ELCT-PIB-19	Scope of work	Y
Safety	X	N/A	Building Entrances	Per the requirements of SAES-B-54	Y
Safety	X	N/A	Building Entrances	Per the requirements of SAES-B-54	Y
Safety	X	N/A	Access/Egress	Complete the installation of doors of the Rack Room.	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Safety	X	N/A	Fire Extinguisher	Per the requirements of SAES-B-014	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Safety	X	N/A	Safety	as agreed with initiator. Kindly change to NO.	Y
Electrical	X	N/A	Power distribution	Power distribution wiring is wrong. The red color shall be used only for DC power and not for AC.	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Scop of Work	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Torque Testing with Tag No# PC-14282 From 369-019-SG-301 To 369-019-XFR(T)-304. (Reference Drawing #369-P-CA-0828	Y
Electrical	X	N/A	Grounding System	Complete the Conduits Installation for Grounding Cable of 369-019-XFR(T)-303. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Continuity for 369-019-XFR(T)-303. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Transformers Pit	Scop of Work	Y
Electrical	X	N/A	Steel Grating Mesh	Scop of Work	Y
Electrical	X	N/A	Electrical Power	"In most electrical power distribution panels such as 369-019-PP-014 or 015 Breaker 16. There is a gray wire that is connected to a
"	Y
Electrical	X	N/A	Crushed Rock	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Conduits Installation for Grounding Cable of 369-019-XFR(T)-304. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for 369-019-XFR(T)-304. (Reference Drawing #369-P-CB-0	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for 369-019-XFR(T)-304. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Transformers Pit	Scop of Work	Y
Electrical	X	N/A	Steel Grating Mesh	Scop of Work	Y
Electrical	X	N/A	Crushed Rock	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for 369-019-XFR(T)-301. (Reference Drawing #369-P-CB-0	Y
Electrical	X	N/A	Power distribution	All Power distribution panels must have a laminated cable schedule inside the panel.	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Continuity for 369-019-XFR(T)-301. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for 369-019-XFR(T)-301. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for Star Point Grounding of 369-019-XFR(T)-301. (Refer	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for Star Point Grounding of 369-019-XFR(T)-301. (Reference Drawing #369-P	Y
Electrical	X	N/A	Transformers Pit	Provide Cleaning for Transformer and Pit With Tag No# 369-019-XFR(T)-301. (Reference Drawing #369-P-CB-082841-001-0A2)	Y
Electrical	X	N/A	Steel Grating Mesh	Scop of Work	Y
Electrical	X	N/A	Crushed Rock	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for 369-019-XFR(T)-302. (Reference Drawing #369-P-CB-0	Y
Communication	X	N/A	Paging System	The box is necessarly to protect the equipment.	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for Star Point Grounding of 369-019-XFR(T)-302. (Refer	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for Star Point Grounding of 369-019-XFR(T)-302. (Reference Drawing #369-P	Y
Electrical	X	N/A	Transformers Pit	Provide Cleaning for Transformer and Pit With Tag No# 369-019-XFR(T)-302. (Reference Drawing #369-P-CB-082841-001-0A2)	Y
Electrical	X	N/A	Steel Grating Mesh	Complete the Steel Grating Mesh for 369-019-XFR(T)-302. (Reference Drawing #369-P-CB-082841-001-0A2)	Y
Electrical	X	N/A	Crushed Rock	Provide Crushed Rock for 369-019-XFR(T)-302. (Reference Drawing #369-P-CB-082841-001-0A2)	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Laying /Pulling with Tag No# PC-14291 From 369-019-XFR(T)-303 NEUTRAL BOX To 369-019-GR(Y)-201. (Reference Drawin	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Laying /Pulling with Tag No# PC-14292 From 369-019-XFR(T)-304 NEUTRAL BOX To 369-019-GR(Y)-202. (Reference Drawin	Y
Fire Protection	X	N/A	Fire Detection alarm	Complete the installation Fire Alarm Control Panel and its associated Major internal Components (Mother Board, Zone Card Modules, NA	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14291 From 369-019-XFR(T)-303 NEUTRAL BOX To 369-019-GR(Y)-201. (Referen	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Glanding and Termination with Tag No# PC-14292 From 369-019-XFR(T)-304 NEUTRAL BOX To 369-019-GR(Y)-202. (Referen	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot Testing with Tag No# PC-14291 From 369-019-XFR(T)-303 NEUTRAL BOX To 369-019-GR(Y)-201. (Reference Drawing	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Hi Pot Testing with Tag No# PC-14292 From 369-019-XFR(T)-304 NEUTRAL BOX To 369-019-GR(Y)-202. (Reference Drawing	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Torque Testing with Tag No# PC-14291 From 369-019-XFR(T)-303 NEUTRAL BOX To 369-019-GR(Y)-201. (Reference Drawing	Y
Electrical	X	N/A	Electrical Power Cable	Complete the Cable Torque Testing with Tag No# PC-14292 From 369-019-XFR(T)-304 NEUTRAL BOX To 369-019-GR(Y)-202. (Reference Drawing	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Scop of Work	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for Body Grounding of 369-019-GR(Y)-201. (Reference Drawing #369-P-CB-083	Y
Fire Protection	X	N/A	Fire detection Alarm	"Complete the installation of all Smoke Detectors and provide each on the center of the ceiling void formed by concrete beam pockets
"	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for Resistor Grounding of 369-019-GR(Y)-201. (Referenc	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Continuity for Resistor Grounding of 369-019-GR(Y)-201. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Complete the Grounding Cable Termination Torqueing Testing for Resistor Grounding of 369-019-GR(Y)-201. (Reference Drawing #369-P-CB	Y
Electrical	X	N/A	Grounding System	Complete the Conduits Installation for Grounding Cable of 369-019-GR(Y)-202. (Reference Drawing #369-P-CB-083009-001-0A2)	Y
Electrical	X	N/A	Grounding System	Complete The Grounding Cable Laying/Pulling With Permanent Identification Tag for Body Grounding of 369-019-GR(Y)-202. (Reference Dr	Y
